feature_id,plane,sheet,l1_feature,l2_feature,l2_description,intended_user_outcome,semantic_owner,product_subsystem,runtime_implementer,execution_mechanism,implementation_decision,existing_ai4rnd_implementation,existing_jiuwen_implementation,reusable_evidence,missing_work,persistence_authority,data_graph,verification_authority,acceptance_evidence_or_test,product_surface,delivery_phase,confidence,evidence_class,implementation_slices,assumptions_open_questions
WF-47,Workflow,Workflow Features,Evaluation,"3. Experimental, Reasoning & External Validity Review","Check experiment design, and if the result make sense in external world",Each validity dimension has its own verdict,AI4RnD Core,Evaluation lane,AI4RnD Core,SwarmFlow (panel) + deterministic checks,BUILD,Partial - artifact review capsule exists,None,AI4Research cap.research-artifact-review.yaml,"Experimental, reasoning and external validity as separate reviews",AI4RnD evidence ledger + gate ledger,,AI4RnD evaluator families (writer != verifier),Each validity dimension has its own verdict,Project view - evaluation dossier,P3,MEDIUM,INF,,
WF-48,Workflow,Workflow Features,Evaluation,4. Claim & Acceptance-Criteria Comparison,"Compare the benchmakr with technical claims, hypothesis and the original accept criteria","Acceptance is decided against the Contract, not restated",AI4RnD Core,Evaluation lane,AI4RnD Core,SwarmFlow (panel) + deterministic checks,ADAPT,Claim verify capsule compares claims to evidence,None,AI4Research cap.research-claim-verify.yaml contract,Comparison against the project Contract acceptance criteria,AI4RnD evidence ledger + gate ledger,,AI4RnD evaluator families (writer != verifier),"Acceptance is decided against the Contract, not restated",Project view - evaluation dossier,P3,MEDIUM,SRC,,
WF-49,Workflow,Workflow Features,Evaluation,"5. Verdict, Blocker & Residual-Risk Classification",Tag the hypothesis as pass/fail/inconclusive/conditionally acceptable/etc.,"A verdict cannot be edited, only superseded",AI4RnD Core,Evaluation lane,AI4RnD Core,SwarmFlow (panel) + deterministic checks,PORT,Gate ledger records verdicts append-only with writer attribution,None,AI4Research lib/gate_ledger.py (372 LOC); exercised in this analysis,Residual-risk classification vocabulary,AI4RnD evidence ledger + gate ledger,Policy graph,AI4RnD evaluator families (writer != verifier),"A verdict cannot be edited, only superseded",Project view - evaluation dossier,P3,HIGH,EXEC,,
WF-50,Workflow,Workflow Features,Evaluation,6. Refinement & Follow-Up Recording,"Note down the points that needs improvement, but no improvements are implemented in this step.",Every blocker produces a follow-up with an owner,AI4RnD Core,Evaluation lane,AI4RnD Core,SwarmFlow (panel) + deterministic checks,BUILD,No structured follow-up record,None,-,Refinement and follow-up as tracked items,AI4RnD evidence ledger + gate ledger,,AI4RnD evaluator families (writer != verifier),Every blocker produces a follow-up with an owner,Project view - evaluation dossier,P3,MEDIUM,INF,,
WF-51,Workflow,Workflow Features,Delivery,1. Delivery Planning & Evidence Handoff,"Define the target audience, delivery format, delivery content, evidence index, permission, and a handoff checklist",A deliverable ships with the evidence that supports it,AI4RnD Core,Delivery lane,AI4RnD-Jiuwen Integration,DeepAgent + deterministic packaging,BUILD,No delivery planning stage,Channel delivery exists,jw-src/jiuwenswarm/gateway/channel_manager/,Delivery plan and evidence handoff,AI4RnD deliverable store,,AI4RnD lifecycle/parity/human-review evaluator,A deliverable ships with the evidence that supports it,Project view - deliverables + channels,P5,MEDIUM,INF,,
WF-52,Workflow,Workflow Features,Delivery,2. User-Facing Deliverable Generation,"generate the report the user needs, including proposal, technical roadmap, investment recommendation, paper, poster, rebuttal or visualization, etc.",A generated report cites only evidence in the ledger,AI4RnD Core,Delivery lane,AI4RnD-Jiuwen Integration,DeepAgent + deterministic packaging,PORT,"Report drafting capsules (report-plan, report-draft, publication-produce)",None,"AI4Research cap.research-report-plan.yaml, cap.research-report-draft.yaml",Deliverable templates bound to audience,AI4RnD deliverable store,,AI4RnD lifecycle/parity/human-review evaluator,A generated report cites only evidence in the ledger,Project view - deliverables + channels,P5,MEDIUM,SRC,,
WF-53,Workflow,Workflow Features,Delivery,"3. Deliverable, Reusable Asset & Knowledge Packaging",Organize all the deliverables.,A completed project yields at least one reusable capsule candidate,AI4RnD Core,Delivery lane,AI4RnD-Jiuwen Integration,DeepAgent + deterministic packaging,BUILD,Partial packaging,Skill packaging exists in JiuwenSwarm,jw-src/jiuwenswarm/server/runtime/skill/skill_manager.py,Reusable asset extraction and knowledge packaging,AI4RnD deliverable store,,AI4RnD lifecycle/parity/human-review evaluator,A completed project yields at least one reusable capsule candidate,Project view - deliverables + channels,P5,MEDIUM,INF,,
WF-54,Workflow,Workflow Features,Delivery,"4. Authorized Distribution, Knowledge Transfer & Lifecycle Closure","Send the deliverable to the user, confirme acceptance, complete artifact transferring, save success/faliure experience, and close the current workflow lifecycle.",Closing a project freezes its evidence and records who authorized distribution,AI4RnD Core,Delivery lane,AI4RnD-Jiuwen Integration,DeepAgent + deterministic packaging,ADAPT,No lifecycle closure,Channels can distribute; no authorization tier,jw-src/jiuwenswarm/gateway/,Authorized distribution and project closure semantics,AI4RnD deliverable store,Policy graph,AI4RnD lifecycle/parity/human-review evaluator,Closing a project freezes its evidence and records who authorized distribution,Project view - deliverables + channels,P5,MEDIUM,SRC,,
FN-01,Foundation,Foundation Features,Capability capsule,1. Capability Capsule Definition & Assembly,"Define the capsule’s contract, metadata, dependencies, resources, and executable entry points.",A new capsule validates against the schema before registration,AI4RnD Core,Capability Capsules,AI4RnD Core,"n/a - capsules constrain execution, do not perform it",REUSE,"42 capsule manifests share one 10-section schema: applicability, contract, composition, effects, bindings, verification, operator_compatibility, provenance","Skills carry name/description/prompt only - no contract, effects or verification sections",Parsed all 42 manifests in harness/capability-capsules and config/capability-capsules,Assembly UI and schema versioning,AI4RnD capsule registry (workspace-scoped),,Capsule certification + conformance evaluator,A new capsule validates against the schema before registration,Capability registry view,P3,HIGH,EXEC,,"This is the evidence that Capsules are already a governed capability identity, not a workflow template"
FN-02,Foundation,Foundation Features,Capability capsule,"2. Capsule Governance, Certification & Registry Management","Validate, certify, register, version, publish, suspend, deprecate, and audit capsules.",A capsule cannot move to stable without a recorded certification,AI4RnD Core,Capability Capsules,AI4RnD Core,"n/a - capsules constrain execution, do not perform it",EXTEND,"Registry holds 35 capsules (32 capability, 1 guard, 2 resource); 30 stable, 5 draft",Skill registry has no certification or suspension states,"config/capability-capsules.registry.yaml parsed: statuses {stable:30, draft:5}","Certification workflow, suspend/deprecate transitions, promotion history",AI4RnD capsule registry (workspace-scoped),Policy graph,Capsule certification + conformance evaluator,A capsule cannot move to stable without a recorded certification,Capability registry view,P3,HIGH,EXEC,,
FN-03,Foundation,Foundation Features,Capability capsule,"3. Capability Discovery, Scoring & Selection","Find and rank eligible capsules by compatibility, policy, quality, cost, and performance.",A step needing an unavailable capability stalls with no_matching_worker and the missing list,AI4RnD Core,Capability Capsules,AI4RnD Core,"n/a - capsules constrain execution, do not perform it",ADAPT,applicability.task_types / positive_signals / negative_signals on all 42 manifests,Symphony skill retrieval scores skills by embedding similarity,All 42 manifests carry the applicability triple; jw-src/jiuwenswarm/symphony/retrieval/,Hard capability gate with discriminated stall reasons - Symphony ranks but never refuses,AI4RnD capsule registry (workspace-scoped),,Capsule certification + conformance evaluator,A step needing an unavailable capability stalls with no_matching_worker and the missing list,Capability registry view,P3,HIGH,EXEC,,"Ranking without refusal is the central mismatch: research must stall honestly, not pick the nearest skill"
FN-04,Foundation,Foundation Features,Capability capsule,4. Capsule Invocation & Composition,Execute capsules with governed inputs and compose compatible capsules into reusable capabilities.,Incompatible capsules never appear in one plan,AI4RnD Core,Capability Capsules,AI4RnD Core,"n/a - capsules constrain execution, do not perform it",EXTEND,composition.consumes/produces/compatible_with/incompatible_with/requires_after on all 42,No composition model between skills,Parsed composition section on all 42 manifests,Composition planner that uses the declared compatibility,AI4RnD capsule registry (workspace-scoped),,Capsule certification + conformance evaluator,Incompatible capsules never appear in one plan,Capability registry view,P3,MEDIUM,SRC,,
FN-05,Foundation,Foundation Features,Capability capsule,5. Capability Capsule Evolution & Version Promotion,"Improve capsules from runtime evidence, validate candidates, and promote or roll back versions.",A promoted capsule version can be rolled back and in-flight runs keep their pinned version,AI4RnD Core,Capability Capsules,AI4RnD Core,"n/a - capsules constrain execution, do not perform it",ADAPT,"GEPA Promoter implements promote/rollback with sha256 sidecars, tmp-vs-production path guards and atomic writes; the manifest schema itself carries no versions/history/RSI-target keys",agent_evolving has Trainer/Updater but only ReactAgentEvolve implements get_operators(),"AI4Research integrations/gepa_optimizer/promote.py (Promoter.promote/rollback, 354 LOC, unit-tested); manifest key census: no benchmarks/performance_history/rsi_targets keys","Wire Promoter to the capsule registry; extend the manifest schema with versions, history and RSI targets",AI4RnD capsule registry (workspace-scoped),,Capsule certification + conformance evaluator,A promoted capsule version can be rolled back and in-flight runs keep their pinned version,Capability registry view,P6,HIGH,SRC,,"Rev 5 correction: promotion/rollback machinery already exists in GEPA and was previously overlooked - this row was BUILD, now ADAPT"
FN-06,Foundation,Foundation Features,Operators,"1. 逻辑算子定义、组装与注册 — Logical Operator Definition, Assembly & Registration","Creates a stable, DAG-callable logical operator definition: identity/version, inputs and outputs, required capabilities/capsules, side effects, write scope, evidence requirements, completion conditions, concurrency constraints and fallback semantics.","Logical Operators register and resolve by capability, not by name",AI4RnD Core,Operators,AI4RnD-Jiuwen Integration,binding target: DeepAgent / SwarmFlow worker / tool / Team member,PORT,Operator definitions in the capsule operator bindings checker,openjiuwen Operator is a tunable-parameter handle and is explicitly NOT an executable unit,openjiuwen/core/operator/base.py line 10: 'Operator is NOT an executable unit',A distinct name for AI4RnD's executable unit to avoid the collision; registration API,AI4RnD operator registry,,Operator admission + runtime profiling,"Logical Operators register and resolve by capability, not by name",Capability registry view - operators,P3,MEDIUM,SRC,,Naming collision confirmed again this revision; AI4RnD's executable unit must not be called Operator inside Jiuwen
FN-07,Foundation,Foundation Features,Operators,"2. 算子准入、认证与治理 — Operator Qualification, Admission & Governance","Determines whether a logical or physical operator may be enabled, promoted or deprecated. It consumes evaluator verdicts to check contract compliance, permissions, safety, reliability, independence and architectural boundaries.",An uncertified operator cannot be bound,AI4RnD Core,Operators,AI4RnD-Jiuwen Integration,binding target: DeepAgent / SwarmFlow worker / tool / Team member,BUILD,check_capsule_operator_bindings.py validates bindings,No operator admission concept,AI4Research tools/check_capsule_operator_bindings.py,"Admission, certification and governance lifecycle for operators",AI4RnD operator registry,,Operator admission + runtime profiling,An uncertified operator cannot be bound,Capability registry view - operators,P3,MEDIUM,SRC,,
FN-08,Foundation,Foundation Features,Operators,"3. 逻辑—物理算子匹配、选择与绑定 — Logical-to-Physical Matching, Selection & Binding","For the logical operator specified by a DAG node, filters eligible physical operators and ranks them using capabilities, capsule compatibility, permissions, health, host, quota, cost, latency, load and fallback policy.",A forbidden operator can never be bound; an unsatisfiable requirement stalls rather than defaulting,AI4RnD Core,Operators,AI4RnD-Jiuwen Integration,binding target: DeepAgent / SwarmFlow worker / tool / Team member,BUILD,operator_compatibility.preferred/forbidden declared on all 42 manifests,agent_type is accepted by the SwarmFlow option whitelist but no backend reads it,probe_r3: backend received {'agent_type':'researcher'}; grep agent_type in workflow/backends/ returns nothing,Binding layer that turns a logical requirement into a concrete executor and fails when none matches,AI4RnD operator registry,,Operator admission + runtime profiling,A forbidden operator can never be bound; an unsatisfiable requirement stalls rather than defaulting,Capability registry view - operators,P3,HIGH,EXEC,,"This is the sharpest verified gap: the knob exists, is validated, and is then ignored"
FN-09,Foundation,Foundation Features,Operators,4. 物理算子与执行舰队管理 — Physical Operator & Execution Fleet Management,"Registers and manages API models, subscription agents, browser/Web operators, Code Agent panes, and local/remote environments as first-class physical operators. Maintains profiles, adapters, availability, health, capacity, quota, cost and concurrency state.","Fleet membership is derived, not hand-maintained",AI4RnD Core,Operators,AI4RnD-Jiuwen Integration,binding target: DeepAgent / SwarmFlow worker / tool / Team member,ADAPT,Physical operator profiles in config/agent-actors.json,"Team member roster, worker backend and model pool constitute the execution fleet",AI4Research config/agent-actors.json; openjiuwen agent_teams/models/allocator.py,Fleet management driven by capsule bindings,AI4RnD operator registry,,Operator admission + runtime profiling,"Fleet membership is derived, not hand-maintained",Capability registry view - operators,P3,MEDIUM,SRC,,
FN-10,Foundation,Foundation Features,Operators,5. 算子运行评估与能力画像 — Operator Runtime Evaluation & Capability Profiling,"Aggregates execution evidence into task-specific success, quality, latency, cost and failure profiles. These profiles support future binding decisions, qualification and evolution.","Operator selection uses measured performance, not declared performance",AI4RnD Core,Operators,AI4RnD-Jiuwen Integration,binding target: DeepAgent / SwarmFlow worker / tool / Team member,BUILD,No runtime capability profiling,Observability spans exist,openjiuwen observability rail,Per-operator capability profile built from run evidence,AI4RnD operator registry,Trace graph,Operator admission + runtime profiling,"Operator selection uses measured performance, not declared performance",Capability registry view - operators,P3,MEDIUM,INF,,
FN-11,Foundation,Foundation Features,Operators,6. 评估器驱动的算子演进 — Evaluator-Driven Operator Evolution,"Produces versioned improvement candidates, tests and benchmarks them, compares quality/cost/risk trade-offs, and supports approval, promotion and rollback. It should evolve definitions, profiles and binding policies—not silently rewrite an operator through “reflection”.",An operator change is promoted only after measured improvement and approval,AI4RnD Core,Operators,AI4RnD-Jiuwen Integration,binding target: DeepAgent / SwarmFlow worker / tool / Team member,ADAPT,"GEPA supplies candidate generation, Budget stoppers (spend/evals/walltime/plateau/stop-file), frozen-policy checking and Promoter rollback; CLI defaults to dry-run",agent_evolving Trainer performs candidate selection on a validation set,"AI4Research integrations/gepa_optimizer/ (budgets.py, hard_policy_checker.py, promote.py, unit tests); openjiuwen agent_evolving/trainer/trainer.py",Wire GEPA's loop to operator profiles and to the approval inbox,AI4RnD operator registry,,Operator admission + runtime profiling,An operator change is promoted only after measured improvement and approval,Capability registry view - operators,P6,MEDIUM,SRC,,"Rev 5 correction: was BUILD - the governance machinery exists in GEPA; the missing work is wiring, not construction"
FN-12,Foundation,Foundation Features,Evaluator,"1. Contract, Schema & Artifact Conformance Evaluator","Verifies input/output contracts, schemas, scopes, required artifacts, proof obligations, structural completeness, and admissibility of submitted evidence.",A postcondition failure blocks acceptance,AI4RnD Core,Evaluators,AI4RnD Core,Deterministic tools + DeepAgent judges,ADAPT,contract.postconditions and invariants on all 42 manifests,Schema validation exists for tool inputs and outputs,Parsed contract section on 42/42 manifests,Conformance evaluator that runs the declared checks,AI4RnD evidence ledger,,Evaluator self-calibration + human review,A postcondition failure blocks acceptance,Project view - evaluation dossier,P3,HIGH,EXEC,,
FN-13,Foundation,Foundation Features,Evaluator,2. Engineering Correctness & Code Quality Evaluator,"Combines automated unit, integration, regression, smoke, and end-to-end testing with static analysis, type checking, linting, maintainability checks, and architecture-boundary validation.",A POC failing its own tests cannot pass evaluation,AI4RnD Core,Evaluators,AI4RnD Core,Deterministic tools + DeepAgent judges,BUILD,Partial engineering checks,Code mode with test execution,openjiuwen worktree + tool execution,Engineering correctness and code quality evaluator family,AI4RnD evidence ledger,,Evaluator self-calibration + human review,A POC failing its own tests cannot pass evaluation,Project view - evaluation dossier,P3,MEDIUM,INF,,
FN-14,Foundation,Foundation Features,Evaluator,"3. Performance, Cost & Benchmark Evaluator","Measures quality, latency, throughput, resource usage, scalability, and cost, and compares results against defined baselines and regression thresholds.",Cost is evaluated against the Contract budget,AI4RnD Core,Evaluators,AI4RnD Core,Deterministic tools + DeepAgent judges,ADAPT,Benchmark tooling present,Token accounting via budget in SwarmFlow,openjiuwen workflow engine budget_total parameter,"Performance, cost and benchmark evaluator family",AI4RnD evidence ledger,,Evaluator self-calibration + human review,Cost is evaluated against the Contract budget,Project view - evaluation dossier,P3,MEDIUM,SRC,,
FN-15,Foundation,Foundation Features,Evaluator,"4. Security, Privacy, Compliance & IP Evaluator","Checks vulnerabilities, secrets, permissions, unsafe effects, sensitive-data exposure, regulatory and organizational policies, licenses, copyright, attribution, and permitted data use.",A capsule declaring network:none cannot bind to a network-capable runner; guardrail rule count asserted non-zero at startup,AI4RnD Core,Evaluators,AI4RnD Core,Deterministic tools + DeepAgent judges,BUILD,effects.read/write/execute/network/cost/risk declared on all 42 manifests,"Built-in shell guardrail tier loads zero rules: the package resources directory does not exist, and the copy JiuwenSwarm installs is never read back",get_builtin_security_rules() returned 0; grep builtin_rules across jw-src finds only the two files that write the copy,"Security, privacy, compliance and IP evaluator; and a guardrail tier that actually loads",AI4RnD evidence ledger,,Evaluator self-calibration + human review,A capsule declaring network:none cannot bind to a network-capable runner; guardrail rule count asserted non-zero at startup,Project view - evaluation dossier,P3,HIGH,EXEC,,Corrects the earlier claim that this was purely an openjiuwen packaging gap - the installed rules file is orphaned
FN-16,Foundation,Foundation Features,Evaluator,"5. Evidence, Factuality & Scientific Validity Evaluator","Evaluates claim-to-evidence support, citation and source quality, reasoning consistency, reproducibility, experimental validity, uncertainty, and external plausibility.",Measured entailment precision published against a labelled set,AI4RnD Core,Evaluators,AI4RnD Core,Deterministic tools + DeepAgent judges,BUILD,Grounding check measured at precision 0.25,llm_as_judge and judge calibration exist inside agent_evolving but are not reachable from the application,V-12 measurement; grep shows jiuwenswarm imports only the experience/archive and tool-description optimizer parts of agent_evolving,Calibrated entailment evaluator - the scientific core of the product,AI4RnD evidence ledger,,Evaluator self-calibration + human review,Measured entailment precision published against a labelled set,Project view - evaluation dossier,P3,HIGH,EXEC,,
FN-17,Foundation,Foundation Features,Evaluator,"6. Lifecycle, Parity & Human Review Evaluator","Verifies real execution, workflow completion, required gates, side effects, and feature or semantic parity; aggregates results and invokes attributable HITL review for high-risk, ambiguous, or policy-required decisions.","Human review is recorded as evidence, not as chat",AI4RnD Core,Evaluators,AI4RnD Core,Deterministic tools + DeepAgent judges,BUILD,verification.self_check/external_verifier/pass_conditions declared on all 42,Human interrupt available,Parsed verification section on 42/42 manifests,"Lifecycle, parity and human review evaluator",AI4RnD evidence ledger,,Evaluator self-calibration + human review,"Human review is recorded as evidence, not as chat",Project view - evaluation dossier,P3,MEDIUM,INF,,
FN-18,Foundation,Foundation Features,Foundational models,1. Model Capability Registry,"Record declared and verified model capabilities such as modality, context size, tool use, structured output, cost class, and suitable tasks.",A model without structured-output support is never selected for a schema-bearing step,JiuwenSwarm Application,Model plane,JiuwenSwarm Application,Jiuwen model pool / allocator,EXTEND,model_registry.py in the harness,Model pool with named groups and positional entries; provider configuration in the app,openjiuwen agent_teams/models/allocator.py resolve_member_model,"Capability profile per model (context, tools, structured output, cost tier)",JiuwenSwarm model pool config,,JiuwenSwarm config validation,A model without structured-output support is never selected for a schema-bearing step,Settings - models,P1,HIGH,SRC,,
FN-19,Foundation,Foundation Features,Foundational models,2. Model Routing & Selection,"Match and select a model route using task needs, capability, quality, cost, policy, quota, and current health. Allow models to obtain tasks in their advantaged field",A step requiring an unavailable model stalls; it does not run on a substitute,AI4RnD Core,Model plane,AI4RnD-Jiuwen Integration,Jiuwen model pool / allocator,BUILD,Routing by capability in graph_scheduler,"resolve_member_model returns None for an unknown model name, and the caller then falls back to the worker base spec's model - silently",openjiuwen agent_teams/models/allocator.py lines 417-423; team_worker_backend._resolve_model,Routing that fails loudly when the required model is unavailable,JiuwenSwarm model pool config,,JiuwenSwarm config validation,A step requiring an unavailable model stalls; it does not run on a substitute,Settings - models,P1,HIGH,SRC,"Model pool and provider configuration - JiuwenSwarm Application, REUSE | Capability requirement to model constraint - AI4RnD Core, BUILD | Loud-failure binding adapter over resolve_member_model - AI4RnD-Jiuwen Integration, BUILD",Silent fallback is the reason AI4RnD cannot delegate model routing to Jiuwen as-is
FN-20,Foundation,Foundation Features,Foundational models,3. Model Usage Auditing,"Record model calls, routes, users, tokens, cost, quota consumption, and policy decisions for audit and accounting.",Model spend is attributable to a project,JiuwenSwarm Application,Model plane,JiuwenSwarm Application,Jiuwen model pool / allocator,EXTEND,Usage accounting in harness tooling,Observability rail and token budget accounting,openjiuwen workflow engine budget; observability rail,"Audit attributable to project, claim and capsule",JiuwenSwarm model pool config,Trace graph,JiuwenSwarm config validation,Model spend is attributable to a project,Settings - models,P1,MEDIUM,SRC,"Raw usage capture - JiuwenSwarm Application, REUSE | Attribution to project and claim - AI4RnD Core, BUILD",
FN-21,Foundation,Foundation Features,RSI,1. Text-Based Artifacts (GEPA / MIPROv2 / TextGrad),"Improves prompts, rules, and rubrics. Validate with holdout tasks, A/B tests, and regression checks.","A prompt change is versioned, measured and reversible",AI4RnD Core,Governed RSI,AI4RnD-Jiuwen Integration,openjiuwen agent_evolving (Trainer/Updater/Operator),ADAPT,GEPA optimizer for prompt and text artifacts,"agent_evolving tool-description optimizer family is imported by JiuwenSwarm (ToolDescriptionMethod, BeamSearch, SimpleEval)",grep of jiuwenswarm imports from openjiuwen.agent_evolving lists the tool-description optimizer symbols,Governed promotion for text artifacts,AI4RnD improvement store + openjiuwen EvolutionStore,,Governed promotion gate (approval + frozen-policy check),"A prompt change is versioned, measured and reversible",Improvements inbox,P6,HIGH,SRC,,This is the one RSI surface with real wiring on both sides
FN-22,Foundation,Foundation Features,RSI,2. Runtime and Resource Routing (Bayesian Optimization / Bandits / Cost-Aware RL),"Optimizes model, tool, budget, retry, and concurrency decisions. Validate with traces, load tests, and cost–latency metrics.",Routing policy improves against a measured objective,AI4RnD Core,Governed RSI,AI4RnD-Jiuwen Integration,openjiuwen agent_evolving (Trainer/Updater/Operator),BUILD,Routing strategies in graph_scheduler,Bandit or cost-aware routing is not present,No routing optimizer found in either tree,Runtime and resource routing optimisation,AI4RnD improvement store + openjiuwen EvolutionStore,,Governed promotion gate (approval + frozen-policy check),Routing policy improves against a measured objective,Improvements inbox,P6,MEDIUM,SRC,,
FN-23,Foundation,Foundation Features,RSI,3. Capability Capsules and Physical Operators (Trajectory Mining / Code Evolution / CEGIS),"Improves reusable capability contracts and implementations. Validate with compatibility tests, sandbox runs, and performance benchmarks.",A capsule can be registered as an evolution subject and improved under governance,AI4RnD Core,Governed RSI,AI4RnD-Jiuwen Integration,openjiuwen agent_evolving (Trainer/Updater/Operator),ADAPT,"GEPA's typed candidate envelope already declares CAPSULE, SKILL, ROUTING_POLICY, REWRITE_RULES and COST_MODEL as its mutable families; capsule manifests carry no RSI-target keys yet",Trainer.train requires an agent implementing get_operators(); only ReactAgentEvolve does,AI4Research integrations/gepa_optimizer/candidate_schema.py CandidateType enum; grep 'def get_operators' across openjiuwen returns exactly one implementor,Operator-protocol adapters exposing capsule tunables to Trainer/Updater; wire GEPA candidates to the registry,AI4RnD improvement store + openjiuwen EvolutionStore,,Governed promotion gate (approval + frozen-policy check),A capsule can be registered as an evolution subject and improved under governance,Improvements inbox,P6,HIGH,SRC,,"Rev 5 correction: was BUILD - GEPA already types capsules as candidates and openjiuwen's Operator protocol is the adapter seam, so this is adaptation on both sides, not new construction"
FN-24,Foundation,Foundation Features,RSI,4. DAG and Agent Organization (AFlow / MCTS / ADAS),"Optimizes workflow structure, agent roles, and coordination. Validate with replay tests, simulations, and success–cost comparisons.",A plan template improves measurably across runs,AI4RnD Core,Governed RSI,AI4RnD-Jiuwen Integration,openjiuwen agent_evolving (Trainer/Updater/Operator),BUILD,No DAG or organisation search,No AFlow/ADAS equivalent,No graph-structure optimizer found in either tree,DAG and agent organisation evolution,AI4RnD improvement store + openjiuwen EvolutionStore,,Governed promotion gate (approval + frozen-policy check),A plan template improves measurably across runs,Improvements inbox,P6,MEDIUM,SRC,,
FN-25,Foundation,Foundation Features,RSI,"5. Evaluator, Reward, Contract, and Governance (Judge Calibration / Reward Modeling / CEGIS)","Improves acceptance rules, rewards, gates, and policies. Validate with golden sets, agreement rates, and violation tests.",A candidate that relaxes a frozen policy is rejected before evaluation,AI4RnD Core,Governed RSI,AI4RnD-Jiuwen Integration,openjiuwen agent_evolving (Trainer/Updater/Operator),ADAPT,Hard policy checker in gepa_optimizer,agent_evolving evaluator/metrics provides exact_match and llm_as_judge,AI4Research integrations/gepa_optimizer/hard_policy_checker.py; openjiuwen agent_evolving/evaluator/metrics,"Evaluator, reward and contract evolution under a frozen-policy guard",AI4RnD improvement store + openjiuwen EvolutionStore,,Governed promotion gate (approval + frozen-policy check),A candidate that relaxes a frozen policy is rejected before evaluation,Improvements inbox,P6,MEDIUM,SRC,,
FN-26,Foundation,Foundation Features,RSI,"6. Memory, Retrieval, and Evidence (Memory Learning / Self-RAG / Reranker Training)","Improves storage, retrieval, citation, and evidence binding. Validate with recall, precision, citation accuracy, and provenance checks.",Retrieval quality improves against a held-out set,AI4RnD Core,Governed RSI,AI4RnD-Jiuwen Integration,openjiuwen agent_evolving (Trainer/Updater/Operator),BUILD,Evidence ledger exists; no retrieval learning,GraphMemory exists in openjiuwen core but is not referenced anywhere in JiuwenSwarm,grep GraphMemory across jw-src/jiuwenswarm returns zero hits,"Memory, retrieval and evidence evolution",AI4RnD improvement store + openjiuwen EvolutionStore,Memory graph,Governed promotion gate (approval + frozen-policy check),Retrieval quality improves against a held-out set,Improvements inbox,P6,MEDIUM,SRC,,
FN-27,Foundation,Foundation Features,RSI,7. Model Policies and Weights (SFT / LoRA / DPO / GRPO / Agent RL),"Learns stronger planning, tool use, and evaluation behavior. Validate with holdout benchmarks, robustness tests, and regressions.",Deferred until an owned model and a training budget exist,AI4RnD Core,Governed RSI,AI4RnD-Jiuwen Integration,openjiuwen agent_evolving (Trainer/Updater/Operator),DEFER,No weight training,agent_rl provides PPO/verl-based training but is not reachable from the application,openjiuwen agent_evolving/agent_rl present; no jiuwenswarm import of it,Model policy and weight evolution,AI4RnD improvement store + openjiuwen EvolutionStore,,Governed promotion gate (approval + frozen-policy check),Deferred until an owned model and a training budget exist,Improvements inbox,P6,MEDIUM,SRC,,"Deferred on cost and infrastructure grounds, not because the substrate is missing"
FN-28,Foundation,Foundation Features,RSI,"8. Data, Benchmarks, Curriculum, and Observability (Active Learning / Hard-Case Mining / Credit Assignment)","Improves task coverage, difficulty, data quality, and change attribution. Validate with coverage, contamination, trace, and ablation tests.",Hard cases mined from failures enter the benchmark set,AI4RnD Core,Governed RSI,AI4RnD-Jiuwen Integration,openjiuwen agent_evolving (Trainer/Updater/Operator),BUILD,Benchmarks exist but are not curriculum-managed,No curriculum or hard-case mining,-,"Data, benchmark and curriculum evolution with observability",AI4RnD improvement store + openjiuwen EvolutionStore,Dataset graph,Governed promotion gate (approval + frozen-policy check),Hard cases mined from failures enter the benchmark set,Improvements inbox,P6,MEDIUM,INF,,
FN-29,Foundation,Foundation Features,Data foundations,1. Persistent Memory & Context Retrieval,"Store accepted facts, decisions, summaries, failures, lessons, and reusable context in durable memory; support indexing, retrieval, compression, expiration, and context assembly.",Context survives a session restart and a compaction,AI4RnD Core,Data foundations,AI4RnD Core,Jiuwen retrieval / store where projections are served,EXTEND,Evidence and memory tooling; mempalace,Persistent checkpointer is configured in a normal install (sqlite); context processor rail exists,jw-src/.../interface_deep.py ensure_persistent_checkpointer creates a sqlite PersistenceCheckpointer and sets it as process default,Research-grade retrieval over project memory,AI4RnD typed graph projections over one authoritative store,Memory graph,Schema + provenance conformance evaluator,Context survives a session restart and a compaction,Project view - knowledge browser,P5,MEDIUM,SRC,,Corrects the earlier open question about whether a persistent checkpointer exists in a stock install - it does
FN-30,Foundation,Foundation Features,Data foundations,2. Concept Graph Management,"Define and connect business concepts, entities, terminology, attributes, and semantic relationships.",Concepts resolve to the evidence that introduced them,AI4RnD Core,Data foundations,AI4RnD Core,Jiuwen retrieval / store where projections are served,BUILD,Absent,"GraphMemory exists in openjiuwen, unwired in JiuwenSwarm",grep concept_graph across AI4Research lib/ and tools/ returns 0 files; grep GraphMemory across jw-src returns 0,Concept graph as a typed projection,AI4RnD typed graph projections over one authoritative store,Concept graph,Schema + provenance conformance evaluator,Concepts resolve to the evidence that introduced them,Project view - knowledge browser,P5,HIGH,EXEC,,
